project_id,status,tenants_used,databases_used,cross_tenant,topic_focus
functional_dark_matter,complete,kescience|kbase|nmdc,kescience_fitnessbrowser|kbase_ke_pangenome|nmdc_arkin,true,experimentally-prioritized dark genes
fw300_metabolic_consistency,complete,kescience|kbase,kescience_webofmicrobes|kescience_fitnessbrowser|kescience_bacdive|kbase_ke_pangenome|kbase_msd_biochemistry,true,Pseudomonas FW300 metabolic consistency
gene_function_ecological_agora,complete,kbase,kbase_ke_pangenome,false,bacterial gene innovation atlas
genotype_to_phenotype_enigma,complete,enigma|kescience|globalusers|kbase|arkinlab,enigma_coral|enigma_genome_depot|kescience_fitnessbrowser|kescience_webofmicrobes|globalusers_carbon_source_phenotypes|kbase_ke_pangenome|arkinlab_microbeatlas,true,genotype-phenotype ENIGMA growth prediction
harvard_forest_warming,complete,nmdc,nmdc,false,Harvard Forest DNA vs RNA functional response
ibd_phage_targeting,complete,kescience|kbase|phagefoundry|protect|arkinlab,kescience_fitnessbrowser|kescience_bacdive|kbase_ke_pangenome|phagefoundry_strain_modelling|protect_genomedepot|arkinlab_microbeatlas,true,IBD phage targeting metagenomics
lab_field_ecology,complete,enigma|kescience|kbase,enigma_coral|kescience_fitnessbrowser|kbase_ke_pangenome,true,lab fitness predicts field ecology
lanthanide_methylotrophy_atlas,complete,kbase|kescience,kbase_ke_pangenome|kescience_bacdive,true,lanthanide-dependent methylotrophy
metabolic_capability_dependency,complete,kbase|kescience,kbase_ke_pangenome|kescience_fitnessbrowser,true,metabolic capability vs dependency
metal_cross_resistance,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,gene-resolution metal cross-resistance
metal_fitness_atlas,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,pan-bacterial metal fitness atlas
metal_resistance_global_biogeography,complete,kescience,kescience_mgnify,false,global metal resistance biogeography
metal_specificity,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,metal-specific vs general stress genes
microbeatlas_metal_ecology,complete,arkinlab|kbase,arkinlab_microbeatlas|kbase_ke_pangenome,true,metal resistance ecology phylogenetics
module_conservation,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,fitness modules and pangenome conservation
nmdc_community_metabolic_ecology,complete,nmdc|kbase,nmdc_arkin|kbase_ke_pangenome,true,NMDC community metabolic ecology
openness_functional_composition,proposed,kbase,kbase_ke_pangenome,false,pangenome openness vs functional composition
pangenome_openness,complete,kbase,kbase_ke_pangenome,false,pangenome openness analysis
pangenome_pathway_ecology,proposed,kbase,kbase_ke_pangenome,false,pangenome openness metabolic pathways
pangenome_pathway_geography,proposed,kbase,kbase_ke_pangenome,false,pangenome pathways and biogeography
paperblast_explorer,complete,kescience,kescience_paperblast|kescience_fitnessbrowser,true,PaperBLAST database explorer
pathway_capability_dependency,complete,kbase|kescience,kbase_ke_pangenome|kescience_fitnessbrowser,true,metabolic pathway capability-dependency
pgp_pangenome_ecology,complete,kbase,kbase_ke_pangenome,false,plant growth-promoting gene ecology
phb_granule_ecology,complete,kbase|nmdc,kbase_ke_pangenome|nmdc_arkin,true,PHB granule ecology
plant_microbiome_ecotypes,complete,kbase|kescience,kbase_ke_pangenome|kescience_mgnify|kescience_bacdive,true,plant microbiome ecotypes
prophage_amr_comobilization,complete,kbase|kescience,kbase_ke_pangenome|kescience_fitnessbrowser,true,prophage-AMR co-mobilization
prophage_ecology,complete,kbase|nmdc,kbase_ke_pangenome|nmdc_arkin,true,prophage modules and terminase lineages
pseudomonas_carbon_ecology,complete,kbase,kbase_ke_pangenome,false,Pseudomonas carbon utilization ecology
resistance_hotspots,proposed,kbase,kbase_ke_pangenome,false,antibiotic resistance hotspots
respiratory_chain_wiring,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,ADP1 respiratory chain condition-wiring
snipe_defense_system,complete,kbase|phagefoundry|nmdc,kbase_ke_pangenome|phagefoundry_acinetobacter|phagefoundry_klebsiella|phagefoundry_paeruginosa|phagefoundry_pviridiflava|nmdc_arkin,true,SNIPE defense system prevalence
soil_frontier_genomics,active,arkinlab,arkinlab_microbeatlas,false,soil genomic dark matter frontier
soil_metal_functional_genomics,active,arkinlab|kbase,arkinlab_microbeatlas|kbase_ke_pangenome,true,soil metal functional gene shifts
t4ss_cazy_environmental_hgt,active,kescience,kescience_mgnify|kescience_bacdive,false,T4SS-CAZy environmental HGT
temporal_core_dynamics,proposed,kbase,kbase_ke_pangenome,false,temporal core genome dynamics
truly_dark_genes,complete,kescience|kbase,kescience_fitnessbrowser|kbase_ke_pangenome,true,truly dark genes beyond annotation
webofmicrobes_explorer,complete,kescience|kbase,kescience_webofmicrobes|kescience_fitnessbrowser|kbase_ke_pangenome|kbase_msd_biochemistry,true,Web of Microbes explorer
